Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      1.96     0.00       14     0.00     0.36  std::basic_ios<char, std::char_traits<char> >::widen(char) const
  0.00      1.96     0.00       14     0.00     0.36  std::ostream::operator<<(std::ostream& (*)(std::ostream&))
  0.00      1.96     0.00       14     0.00     0.36  std::basic_ostream<char, std::char_traits<char> >& std::endl<char, std::char_traits<char> >(std::basic_ostream<char, std::char_traits<char> >&)
  0.00      1.96     0.00       14     0.00     0.00  std::basic_ostream<char, std::char_traits<char> >& std::flush<char, std::char_traits<char> >(std::basic_ostream<char, std::char_traits<char> >&)
  0.00      1.96     0.00       13     0.00     0.00  std::vector<long, std::allocator<long> >::size() const
  0.00      1.96     0.00       13     0.00     0.00  std::basic_ostream<char, std::char_traits<char> >& std::operator<< <std::char_traits<char> >(std::basic_ostream<char, std::char_traits<char> >&, char const*)
  0.00      1.96     0.00       12     0.00     0.00  std::_Rb_tree_iterator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, TimerData> >::operator++()
  0.00      1.96     0.00       12     0.00     0.00  std::vector<long, std::allocator<long> >::operator[](unsigned long)
  0.00      1.96     0.00       12     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >& std::forward<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&>(std::remove_reference<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&>::type&)
  0.00      1.96     0.00       12     0.00     0.00  operator new(unsigned long, void*)
  0.00      1.96     0.00       11     0.00     0.00  long* std::__niter_base<long*>(long*)
  0.00      1.96     0.00        9     0.00     0.00  std::_Vector_base<long, std::allocator<long> >::_M_get_Tp_allocator()
  0.00      1.96     0.00        8     0.00     0.00  __gnu_cxx::new_allocator<long>::max_size() const
  0.00      1.96     0.00        6     0.00     0.00  TimerData::TimerData(int const&, std::chrono::duration<long, std::ratio<1l, 1000l> > const&)
  0.00      1.96     0.00        6     0.00     0.00  __gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, TimerData> > >::deallocate(std::_Rb_tree_node<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, TimerData> >*, unsigned long)
